Employee ID,First Name,Last Name,Email,Phone Number,Job Title,Department,Location,Manager Email,Gender,Nationality,Birth Date,Hire Date,Status,Is Admin
1001,Alex,Anderson,anderson.alex@canva.com,,Chief Executive Officer,Executive,New York,,Female,USA,1973-02-09,2013-04-14,Active,Yes
1002,Carol,Williams,williams.carol@canva.com,,Chief Human Resources Officer,Human Resources,New York,anderson.alex@canva.com,Male,USA,1970-11-12,2011-12-02,Active,Yes
1003,Thomas,Lee,lee.thomas@canva.com,,Chief Financial Officer,Finance,New York,anderson.alex@canva.com,Male,USA,1972-02-20,2018-01-06,Active,Yes
1004,Deborah,Williams,williams.deborah@canva.com,,Chief Marketing Officer,Marketing,New York,anderson.alex@canva.com,Male,USA,1975-12-14,2012-02-26,Active,Yes
1005,Susan,Davis,davis.susan@canva.com,,Chief Sales Officer,Sales,New York,anderson.alex@canva.com,Male,USA,1972-02-28,2012-09-24,Active,Yes
1006,Richard,Wright,wright.richard@canva.com,,Chief Information Officer,Information Technology,New York,anderson.alex@canva.com,Female,USA,1974-07-10,2022-05-25,Active,Yes
1007,Matthew,Ramirez,ramirez.matthew@canva.com,,Vice President of Human Resources - New York,Human Resources,New York,williams.carol@canva.com,Female,USA,1997-02-04,2022-09-11,Active,Yes
1008,Donna,Hall,hall.donna@canva.com,,Vice President of Human Resources - Dubai,Human Resources,Dubai,williams.carol@canva.com,Female,UAE,2001-03-24,2024-10-17,Active,Yes
1009,Barbara,Perez,perez.barbara@canva.com,,Vice President of Human Resources - Tokyo,Human Resources,Tokyo,williams.carol@canva.com,Female,Japan,1986-02-07,2014-05-24,Active,Yes
1010,Brian,Miller,miller.brian@canva.com,,Recruitment Manager,Human Resources,New York,ramirez.matthew@canva.com,Female,USA,1981-11-07,2021-03-24,Active,No
1011,Lisa,Gonzalez,gonzalez.lisa@canva.com,,Compensation & Benefits Manager,Human Resources,New York,ramirez.matthew@canva.com,Female,USA,1991-03-08,2019-07-14,Active,No
1012,Ashley,Moore,moore.ashley@canva.com,,Learning & Development Manager,Human Resources,New York,ramirez.matthew@canva.com,Female,USA,1986-11-06,2013-12-27,Active,No
1013,Jennifer,Lewis,lewis.jennifer@canva.com,,Recruitment Manager,Human Resources,Dubai,hall.donna@canva.com,Male,UAE,1981-03-09,2011-06-27,Active,Yes
1014,Melissa,White,white.melissa@canva.com,,Compensation & Benefits Manager,Human Resources,Dubai,hall.donna@canva.com,Female,UAE,1995-02-06,2022-12-19,Active,No
1015,Jessica,Robinson,robinson.jessica@canva.com,,Learning & Development Manager,Human Resources,Dubai,hall.donna@canva.com,Female,UAE,1995-01-22,2021-03-07,Active,No
1016,Lisa,Martinez,martinez.lisa@canva.com,,Recruitment Manager,Human Resources,Tokyo,perez.barbara@canva.com,Female,Japan,1993-07-27,2015-03-13,Active,Yes
1017,Christopher,King,king.christopher@canva.com,,Compensation & Benefits Manager,Human Resources,Tokyo,perez.barbara@canva.com,Female,Japan,1992-02-14,2016-01-15,Active,No
1018,Kimberly,Young,young.kimberly@canva.com,,Learning & Development Manager,Human Resources,Tokyo,perez.barbara@canva.com,Male,Japan,1991-08-14,2021-11-05,Active,No
1019,Brian,Wright,wright.brian@canva.com,,HR Specialist,Human Resources,New York,ramirez.matthew@canva.com,Female,USA,1993-11-17,2016-05-15,Active,No
1020,Andrew,Allen,allen.andrew@canva.com,,HR Specialist,Human Resources,New York,ramirez.matthew@canva.com,Female,USA,2001-04-14,2024-07-02,Active,No
1021,Dorothy,Anderson,anderson.dorothy@canva.com,,HR Specialist,Human Resources,New York,ramirez.matthew@canva.com,Female,USA,1997-03-21,2024-12-04,Active,No
1022,David,Campbell,campbell.david@canva.com,,HR Specialist,Human Resources,New York,ramirez.matthew@canva.com,Male,USA,1997-05-27,2023-03-11,Active,No
1023,Sandra,Allen,allen.sandra@canva.com,,HR Specialist,Human Resources,New York,ramirez.matthew@canva.com,Female,USA,1995-07-26,2019-06-23,Active,No
1024,James,White,white.james@canva.com,,HR Specialist,Human Resources,New York,ramirez.matthew@canva.com,Female,USA,1992-03-05,2018-04-01,Active,No
1025,Michelle,Scott,scott.michelle@canva.com,,HR Specialist,Human Resources,New York,ramirez.matthew@canva.com,Female,USA,1996-11-01,2019-05-15,Active,No
1026,Emily,Mitchell,mitchell.emily@canva.com,,HR Specialist,Human Resources,New York,ramirez.matthew@canva.com,Male,USA,1996-11-07,2024-02-12,Active,No
1027,Matthew,Hill,hill.matthew@canva.com,,HR Specialist,Human Resources,New York,ramirez.matthew@canva.com,Male,USA,2000-06-19,2023-01-15,Active,No
1028,Elizabeth,Gonzalez,gonzalez.elizabeth@canva.com,,HR Specialist,Human Resources,New York,ramirez.matthew@canva.com,Male,USA,2001-09-05,2024-07-04,Active,No
1029,Deborah,Wright,wright.deborah@canva.com,,HR Specialist,Human Resources,New York,ramirez.matthew@canva.com,Female,USA,1995-05-01,2017-06-03,Active,No
1030,Susan,Flores,flores.susan@canva.com,,HR Specialist,Human Resources,New York,ramirez.matthew@canva.com,Female,USA,1994-06-15,2021-03-15,Active,No
1031,George,White,white.george@canva.com,,HR Coordinator,Human Resources,New York,ramirez.matthew@canva.com,Female,USA,1986-04-03,2012-06-07,Active,No
1032,Mary,Hall,hall.mary@canva.com,,HR Coordinator,Human Resources,New York,ramirez.matthew@canva.com,Female,USA,1991-02-12,2014-11-16,Active,No
1033,Susan,Garcia,garcia.susan@canva.com,,HR Coordinator,Human Resources,New York,ramirez.matthew@canva.com,Male,USA,1980-07-01,2011-07-12,Active,No
1034,Barbara,Martinez,martinez.barbara@canva.com,,HR Coordinator,Human Resources,New York,ramirez.matthew@canva.com,Female,USA,1983-11-06,2022-10-04,Active,No
