Employee ID,First Name,Last Name,Email,Phone Number,Job Title,Department,Location,Manager Email,Gender,Nationality,Birth Date,Hire Date,Status,Is Admin
3001,Sharon,Brooks,brooks.sharon@canva.com,1-961-306-7683,Chief Executive Officer,Executive,New York,,Male,American,18/05/1975,25/08/2018,active,FALSE
3002,Michael,Cox,cox.michael@canva.com,1-378-637-2340,Chief Human Resources Officer,Human resources,New York,brooks.sharon@canva.com,Female,American,17/01/1999,16/08/2024,active,FALSE
3003,Mark,Ward,ward.mark@canva.com,1-897-994-7370,Chief Financial Officer,Finance,New York,brooks.sharon@canva.com,Male,American,12/05/1989,20/06/2021,active,FALSE
3004,Brian,Perry,perry.brian@canva.com,1-695-813-3178,Chief Marketing Officer,Marketing,New York,brooks.sharon@canva.com,Female,American,25/09/1987,26/05/2023,active,FALSE
3005,Michelle,Phillips,phillips.michelle@canva.com,1-475-515-4886,Chief Revenue Officer,Sales,New York,brooks.sharon@canva.com,Male,American,13/12/1990,03/01/2018,active,FALSE
3006,Emily,Sullivan,sullivan.emily@canva.com,1-793-242-7136,Chief Technology Officer,Information technology,New York,brooks.sharon@canva.com,Male,American,15/02/1998,01/02/2024,active,FALSE
3007,Jacob,Patel,patel.jacob@canva.com,1-259-843-1924,Head of Diversity and Inclusion,Officer,New York,cox.michael@canva.com,Male,American,15/02/1978,14/11/2022,active,FALSE
3008,Kevin,Cruz,cruz.kevin@canva.com,1-848-923-7470,Head of HR Systems,Officer,New York,cox.michael@canva.com,Male,American,17/04/1980,12/04/2021,active,FALSE
3009,Kenneth,Ortiz,ortiz.kenneth@canva.com,1-284-510-5762,Head of Employee Relations,Officer,New York,cox.michael@canva.com,Male,American,12/02/1993,06/06/2018,active,FALSE
3010,Samuel,Perry,perry.samuel@canva.com,1-458-554-2300,Corporate Controller,Officer,New York,ward.mark@canva.com,Male,American,05/12/1984,19/06/2024,active,FALSE
3011,Pamela,Young,young.pamela@canva.com,1-281-214-5711,Director Treasury,Officer,New York,ward.mark@canva.com,Female,American,25/06/1976,22/09/2019,active,FALSE
