name,surname,email,password,dateOfBirth,dateJoined,jobTitle,department,isManager,managerEmail,status,sex,nationality,phoneNumber
Melinda,Brown,melinda.brown@fripl.com,123456789,1976-05-12,2022-07-09,Chief Executive Officer,CEO OFFICE,Yes,,active,male,Fiji,227.304.3926
Adam,Ware,adam.ware@fripl.com,123456789,1992-04-29,2020-10-19,Chief Marketing Officer,Marketing,Yes,melinda.brown@fripl.com,active,female,Cote d'Ivoire,(870)338-0016
Matthew,Snyder,matthew.snyder@fripl.com,123456789,1970-02-24,2025-04-21,Chief Revenue Officer,Sales,Yes,melinda.brown@fripl.com,active,male,Hong Kong,367.579.4775x3012
Anthony,Frost,anthony.frost@fripl.com,123456789,1972-06-07,2023-11-22,Chief People Officer,Human Ressources,Yes,melinda.brown@fripl.com,active,female,Azerbaijan,596.737.5527
Kristina,Brandt,kristina.brandt@fripl.com,123456789,1973-01-07,2020-06-21,Chief Financial Officer,Finance,Yes,melinda.brown@fripl.com,active,female,Sao Tome and Principe,573-485-7013
Kenneth,Khan,kenneth.khan@fripl.com,123456789,1989-01-19,2022-02-13,Chief Operating Officer,Operations,Yes,melinda.brown@fripl.com,active,male,Sao Tome and Principe,910.359.7162x856
Ann,Thompson,ann.thompson@fripl.com,123456789,1985-09-05,2023-09-08,Chief Technology Officer,Information technology,Yes,melinda.brown@fripl.com,active,female,Mauritius,(816)175-0401x877
Lisa,Porter,lisa.porter@fripl.com,123456789,1990-01-04,2025-04-28,Operations Manager,Operations,Yes,kenneth.khan@fripl.com,active,female,Indonesia,370-351-2375
Yolanda,Meyer,yolanda.meyer@fripl.com,123456789,1969-06-13,2020-07-11,Sales Associate,Sales,No,matthew.snyder@fripl.com,active,male,Gibraltar,(887)422-7233x63044
Brian,Ferguson,brian.ferguson@fripl.com,123456789,1966-07-09,2024-04-05,IT Manager,Information technology,Yes,ann.thompson@fripl.com,active,female,Cameroon,1517450804
Catherine,Pierce,catherine.pierce@fripl.com,123456789,1984-04-23,2024-03-19,Legal Assistant,Legal,No,melinda.brown@fripl.com,active,male,Seychelles,(999)092-9645x2192
Vincent,Lopez,vincent.lopez@fripl.com,123456789,1979-05-21,2024-05-22,Content Strategist,Marketing,No,adam.ware@fripl.com,active,female,Tonga,(146)924-9627
Karen,Crosby,karen.crosby@fripl.com,123456789,1978-12-01,2023-01-28,HR Coordinator,Human Ressources,No,anthony.frost@fripl.com,active,female,Timor-Leste,1693558486
Tracy,Foster,tracy.foster@fripl.com,123456789,1969-08-27,2023-12-11,Marketing Manager,Marketing,Yes,adam.ware@fripl.com,active,male,Czech Republic,977.063.9452
Nicole,Lewis,nicole.lewis@fripl.com,123456789,1969-06-07,2021-10-31,Corporate Counsel,Legal,No,melinda.brown@fripl.com,active,female,Fiji,+1-915-764-4666
Antonio,Johnson,antonio.johnson@fripl.com,123456789,1968-05-14,2023-07-26,Sales Associate,Sales,No,matthew.snyder@fripl.com,active,female,Portugal,+1-750-052-9174
Beth,Rivera,beth.rivera@fripl.com,123456789,1993-08-23,2021-07-13,IT Manager,Information technology,Yes,ann.thompson@fripl.com,active,female,Jersey,174-120-4567x18877
Michael,Harris,michael.harris@fripl.com,123456789,1984-09-24,2023-03-31,HR Coordinator,Human Ressources,No,anthony.frost@fripl.com,active,female,Bermuda,028-448-2688x7567
Barbara,Walker,barbara.walker@fripl.com,123456789,1979-06-22,2021-12-17,HR Coordinator,Human Ressources,No,anthony.frost@fripl.com,active,male,Pakistan,(602)692-4376
Justin,Todd,justin.todd@fripl.com,123456789,1968-07-16,2024-06-03,HR Coordinator,Human Ressources,No,anthony.frost@fripl.com,active,female,Somalia,001-062-358-2500
Michael,Gill,michael.gill@fripl.com,123456789,1981-08-04,2022-02-14,Sales Associate,Sales,No,matthew.snyder@fripl.com,active,male,Iceland,710-020-1968x94494
Amy,Peterson,amy.peterson@fripl.com,123456789,1975-04-23,2022-02-14,IT Support,Information technology,No,ann.thompson@fripl.com,active,male,Colombia,(914)434-4839
Scott,Walker,scott.walker@fripl.com,123456789,1978-03-27,2023-06-14,Corporate Counsel,Legal,No,melinda.brown@fripl.com,active,male,Faroe Islands,(504)834-1618x329
Michael,Koch,michael.koch@fripl.com,123456789,1971-04-18,2021-06-11,Legal Assistant,Legal,No,melinda.brown@fripl.com,active,female,United States of America,+1-993-709-3009
Allison,Martinez,allison.martinez@fripl.com,123456789,1975-08-27,2023-04-26,HR Coordinator,Human Ressources,No,anthony.frost@fripl.com,active,female,Mozambique,7909787708
Michael,Garza,michael.garza@fripl.com,123456789,2001-10-05,2021-09-13,Corporate Counsel,Legal,No,melinda.brown@fripl.com,active,female,Zimbabwe,001-277-875-0278x8473
Michael,Middleton,michael.middleton@fripl.com,123456789,1979-01-25,2022-08-04,Software Engineer,Information technology,No,ann.thompson@fripl.com,active,male,Croatia,766-609-0469x85478
Daniel,Flowers,daniel.flowers@fripl.com,123456789,1997-04-03,2024-12-15,Operations Associate,Operations,No,kenneth.khan@fripl.com,active,female,Puerto Rico,(495)950-7773
Robert,Smith,robert.smith@fripl.com,123456789,1983-04-03,2023-08-27,Sales Manager,Sales,Yes,matthew.snyder@fripl.com,active,male,Mauritania,1556100767
Michael,Navarro,michael.navarro@fripl.com,123456789,1985-02-10,2022-10-27,Logistics Manager,Operations,Yes,kenneth.khan@fripl.com,active,male,Lithuania,796.235.1359x1706
James,Grant,james.grant@fripl.com,123456789,1966-07-24,2024-06-08,Accountant,Finance,No,kristina.brandt@fripl.com,active,male,Timor-Leste,2316789662
Todd,Thomas,todd.thomas@fripl.com,123456789,1996-09-27,2024-12-31,HR Manager,Human Ressources,Yes,anthony.frost@fripl.com,active,female,Norway,+1-375-071-8374x5932
Stephanie,Fisher,stephanie.fisher@fripl.com,123456789,1997-04-04,2022-07-31,Account Executive,Sales,No,matthew.snyder@fripl.com,active,male,France,402-821-5985x452
Jeffrey,Mitchell,jeffrey.mitchell@fripl.com,123456789,1982-08-10,2021-08-02,Logistics Manager,Operations,Yes,kenneth.khan@fripl.com,active,female,Aruba,+1-706-626-8958
Kristie,Elliott,kristie.elliott@fripl.com,123456789,1982-01-17,2023-07-04,Logistics Manager,Operations,Yes,kenneth.khan@fripl.com,active,male,Libyan Arab Jamahiriya,(348)983-7573x2687
Willie,Carlson,willie.carlson@fripl.com,123456789,1982-12-02,2023-01-05,Corporate Counsel,Legal,No,melinda.brown@fripl.com,active,female,Heard Island and McDonald Islands,934-297-9387x3722
Bradley,Johnson,bradley.johnson@fripl.com,123456789,1966-10-06,2025-01-30,Account Executive,Sales,No,matthew.snyder@fripl.com,active,male,Lithuania,001-362-999-9119x9807
Benjamin,Howell,benjamin.howell@fripl.com,123456789,2001-07-29,2023-07-07,Account Executive,Sales,No,matthew.snyder@fripl.com,active,male,Panama,+1-195-209-1334
Nicole,Simon,nicole.simon@fripl.com,123456789,1972-10-25,2022-10-14,Accountant,Finance,No,kristina.brandt@fripl.com,active,female,Yemen,(142)233-1033x3870
Thomas,Warren,thomas.warren@fripl.com,123456789,1992-08-13,2023-03-27,Operations Manager,Operations,Yes,kenneth.khan@fripl.com,active,female,Saint Lucia,(182)998-2780x86152
Scott,Jones,scott.jones@fripl.com,123456789,1967-06-17,2022-01-27,Accountant,Finance,No,kristina.brandt@fripl.com,active,female,United Arab Emirates,675.053.1535
Brian,Stephens,brian.stephens@fripl.com,123456789,1984-06-21,2023-01-22,Finance Analyst,Finance,No,kristina.brandt@fripl.com,active,male,Turkey,465.471.0517
Bradley,Lyons,bradley.lyons@fripl.com,123456789,1970-05-03,2022-08-07,Accountant,Finance,No,kristina.brandt@fripl.com,active,male,Togo,764.234.8487x140
Garrett,Martinez,garrett.martinez@fripl.com,123456789,1978-01-05,2022-05-25,Sales Associate,Sales,No,matthew.snyder@fripl.com,active,female,Uzbekistan,234-069-2167x08284
Jean,Wang,jean.wang@fripl.com,123456789,1985-03-28,2023-07-29,IT Support,Information technology,No,ann.thompson@fripl.com,active,female,Kyrgyz Republic,(776)761-6667
Teresa,Hudson,teresa.hudson@fripl.com,123456789,1969-06-30,2023-09-10,Marketing Coordinator,Marketing,No,adam.ware@fripl.com,active,male,Latvia,9951541645
Maria,Avery,maria.avery@fripl.com,123456789,1983-08-11,2020-10-02,HR Manager,Human Ressources,Yes,anthony.frost@fripl.com,active,male,Cameroon,596-092-0922x77819
Kevin,Montgomery,kevin.montgomery@fripl.com,123456789,1965-09-10,2023-02-07,Accountant,Finance,No,kristina.brandt@fripl.com,active,male,New Caledonia,001-608-136-8680x80244
Kayla,Miller,kayla.miller@fripl.com,123456789,1990-07-19,2021-07-04,Legal Assistant,Legal,No,melinda.brown@fripl.com,active,male,Palestinian Territory,171-873-7218x8142
Kellie,Terry,kellie.terry@fripl.com,123456789,1977-01-17,2024-07-01,IT Manager,Information technology,Yes,ann.thompson@fripl.com,active,male,Trinidad and Tobago,+1-676-047-3227x625
Jamie,Brown,jamie.brown@fripl.com,123456789,2002-06-11,2023-01-31,HR Manager,Human Ressources,Yes,anthony.frost@fripl.com,active,female,Guernsey,593-488-7517x8891
Diana,Elliott,diana.elliott@fripl.com,123456789,1998-09-29,2025-02-10,IT Support,Information technology,No,ann.thompson@fripl.com,active,male,Honduras,046-083-0563x7598
Megan,Williams,megan.williams@fripl.com,123456789,1980-11-23,2023-09-15,Logistics Manager,Operations,Yes,kenneth.khan@fripl.com,active,female,Pakistan,754-949-7863x6419
Billy,Mccormick,billy.mccormick@fripl.com,123456789,1975-07-06,2023-04-02,Finance Manager,Finance,Yes,kristina.brandt@fripl.com,active,female,Ecuador,936-562-9524
Jeremy,Valdez,jeremy.valdez@fripl.com,123456789,1968-03-02,2022-04-28,HR Specialist,Human Ressources,No,anthony.frost@fripl.com,active,female,United States Virgin Islands,001-825-071-4594
Cody,Crawford,cody.crawford@fripl.com,123456789,1994-06-14,2021-09-20,Finance Analyst,Finance,No,kristina.brandt@fripl.com,active,male,Micronesia,740.396.2547
Alexandra,Ramirez,alexandra.ramirez@fripl.com,123456789,1990-09-27,2020-12-20,Marketing Manager,Marketing,Yes,adam.ware@fripl.com,active,female,Cayman Islands,7904660773
Jessica,Garrett,jessica.garrett@fripl.com,123456789,1988-12-03,2021-01-15,Operations Associate,Operations,No,kenneth.khan@fripl.com,active,female,Norway,055-378-5033
Maria,Parsons,maria.parsons@fripl.com,123456789,1986-06-01,2024-10-07,Finance Manager,Finance,Yes,kristina.brandt@fripl.com,active,male,Zambia,572.021.5250x94578
Jamie,Rollins,jamie.rollins@fripl.com,123456789,1997-11-13,2021-04-28,IT Support,Information technology,No,ann.thompson@fripl.com,active,male,Suriname,458.068.1548
Brian,Murray,brian.murray@fripl.com,123456789,1986-12-31,2023-02-10,Finance Analyst,Finance,No,kristina.brandt@fripl.com,active,male,Ethiopia,001-571-537-5973x0070
Jeremiah,Anderson,jeremiah.anderson@fripl.com,123456789,1970-09-07,2022-10-03,Finance Analyst,Finance,No,kristina.brandt@fripl.com,active,male,Serbia,960.184.0526
Sharon,Logan,sharon.logan@fripl.com,123456789,1968-07-06,2025-03-07,IT Manager,Information technology,Yes,ann.thompson@fripl.com,active,male,Svalbard & Jan Mayen Islands,468-789-5278
Ashley,Dixon,ashley.dixon@fripl.com,123456789,1964-07-10,2022-08-24,IT Manager,Information technology,Yes,ann.thompson@fripl.com,active,female,Seychelles,(746)215-5272
