Employee ID,First Name,Last Name,Email,Phone Number,Job Title,Department,Location,Manager Email,Gender,Nationality,Birth Date,Hire Date,Status,Is Admin
1009,Barbara,Perez,perez.barbara@canva.com,87012341234,Vice President of Human Resources - Tokyo,Human Resources,Tokyo,williams.carol@canva.com,Female,Japan,07/02/1986,24/05/2014,Active,Yes
1016,Lisa,Martinez,martinez.lisa@canva.com,87012341235,Recruitment Manager,Human Resources,Tokyo,perez.barbara@canva.com,Female,Japan,27/07/1993,13/03/2015,Active,Yes
1017,Christopher,King,king.christopher@canva.com,87012341236,Compensation & Benefits Manager,Human Resources,Tokyo,perez.barbara@canva.com,Female,Japan,14/02/1992,15/01/2016,Active,No
1018,Kimberly,Young,young.kimberly@canva.com,87012341237,Learning & Development Manager,Human Resources,Tokyo,perez.barbara@canva.com,Male,Japan,14/08/1991,05/11/2021,Active,No
1056,Joshua,Gonzalez,gonzalez.joshua@canva.com,87012341238,HR Specialist,Human Resources,Tokyo,perez.barbara@canva.com,Male,Japan,08/07/1992,18/02/2023,Active,No
1057,Richard,Williams,williams.richard@canva.com,87012341239,HR Specialist,Human Resources,Tokyo,perez.barbara@canva.com,Male,Japan,18/12/1996,24/03/2022,Active,No
1058,Dorothy,White,white.dorothy@canva.com,87012341240,HR Specialist,Human Resources,Tokyo,perez.barbara@canva.com,Male,Japan,25/08/1997,17/07/2019,Active,No
1059,Donald,Flores,flores.donald@canva.com,87012341241,HR Specialist,Human Resources,Tokyo,perez.barbara@canva.com,Male,Japan,06/04/1994,02/08/2019,Active,No
1060,Sarah,Rivera,rivera.sarah@canva.com,87012341242,HR Specialist,Human Resources,Tokyo,perez.barbara@canva.com,Male,Japan,04/07/1994,04/11/2021,Active,No
1061,Sarah,Johnson,johnson.sarah@canva.com,87012341243,HR Specialist,Human Resources,Tokyo,perez.barbara@canva.com,Female,Japan,09/06/2001,22/10/2024,Active,No
1062,Daniel,Mitchell,mitchell.daniel@canva.com,87012341244,HR Coordinator,Human Resources,Tokyo,perez.barbara@canva.com,Male,Japan,03/10/1996,19/07/2021,Active,No
