Employee ID,First Name,Last Name,Email,Phone Number,Job Title,Department,Location,Manager Email,Gender,Nationality,Birth Date,Hire Date,Status,Is Admin
1001,Lisa,Evans,lisa.evans@canva.com,-9223,Chief Executive Officer,Executive,Singapore,,Male,American,17/09/1973,22/10/2017,active,TRUE
1002,Thomas,Simpson,thomas.simpson@canva.com,-10659,Chief Human Resources Officer,Human Resources,New York,lisa.evans@canva.com,Male,Australian,25/10/1967,08/04/2021,active,TRUE
1003,Rose,Ross,rose.ross@canva.com,-7846,"Vice President, Human Resources",Human Resources,London,thomas.simpson@canva.com,Female,Indian,05/10/1975,29/10/2024,active,TRUE
1004,Ann,Weaver,ann.weaver_human0@canva.com,-6809,Senior Human Resources Manager,Human Resources,Toronto,rose.ross@canva.com,Male,British,27/09/1965,06/08/2015,active,FALSE
1005,Sara,Sanchez,sara.sanchez_human1@canva.com,-6097,Senior Human Resources Manager,Human Resources,London,rose.ross@canva.com,Female,Canadian,18/04/1967,11/02/2015,active,FALSE
1006,Maria,Jackson,maria.jackson_humanmgr0@canva.com,-3729,Human Resources Manager,Human Resources,London,ann.weaver_human0@canva.com,Male,Emirati,15/04/1983,10/09/2023,active,TRUE
1007,Jean,Garcia,jean.garcia_humanmgr1@canva.com,-3804,Human Resources Manager,Human Resources,Sydney,sara.sanchez_human1@canva.com,Female,Indian,15/08/1975,06/12/2022,active,FALSE
1008,Diana,Simpson,diana.simpson_humanmgr2@canva.com,-3041,Human Resources Manager,Human Resources,London,sara.sanchez_human1@canva.com,Male,Emirati,09/08/1971,22/09/2023,active,FALSE
1009,Barbara,Bennett,barbara.bennett_humantl0@canva.com,-7175,Human Resources Team Lead,Human Resources,Singapore,diana.simpson_humanmgr2@canva.com,Female,Indian,14/12/1999,11/05/2021,active,FALSE
1010,Raymond,Russell,raymond.russell_humantl1@canva.com,-7998,Human Resources Team Lead,Human Resources,Singapore,maria.jackson_humanmgr0@canva.com,Male,Canadian,11/11/1983,28/09/2022,active,FALSE
1011,Matthew,Powell,matthew.powell_humantl2@canva.com,-5002,Human Resources Team Lead,Human Resources,Singapore,maria.jackson_humanmgr0@canva.com,Male,Canadian,21/02/1978,08/08/2015,active,FALSE
1012,Nancy,Martinez,nancy.martinez_humantl3@canva.com,-4954,Human Resources Team Lead,Human Resources,New York,jean.garcia_humanmgr1@canva.com,Male,Emirati,12/11/1984,06/02/2024,active,FALSE
1013,Theresa,Smith,theresa.smith_humanst0@canva.com,-9184,Human Resources Specialist,Human Resources,Sydney,barbara.bennett_humantl0@canva.com,Female,Australian,25/05/1995,09/04/2018,active,TRUE
1014,Robert,Stevens,robert.stevens_humanst1@canva.com,-7186,Human Resources Specialist,Human Resources,New York,raymond.russell_humantl1@canva.com,Female,Australian,22/02/2000,29/08/2017,active,TRUE
